2012	10	40	2	1419
2009	11	45	1	1529
2007	2	8	7	1153
2013	11	47	5	1479
2006	1	1	6	1316
2008	3	12	1	1463
2009	2	9	4	1552
2007	7	27	7	1291
2015	11	45	5	1412
2011	8	34	7	664
2007	5	19	3	1635
2012	9	37	4	1463
2007	10	44	3	1530
2007	9	36	4	1656
2008	11	45	2	1297
2014	5	22	1	1147
2010	3	9	4	1556
2009	1	4	6	1329
2012	9	38	1	1436
2015	6	27	2	1412
2010	9	35	4	1532
2006	10	42	4	1656
2011	7	27	3	1511
2012	6	22	6	1326
2006	11	44	5	1481
2012	1	4	3	1506
2008	10	44	2	1292
2007	7	29	1	1578
2010	7	30	1	1446
2011	6	23	4	1347
2010	5	18	3	1630
2013	6	25	4	1436
2006	1	3	4	1638
2010	2	6	2	1306
2010	5	18	7	1109
2007	9	38	2	1594
2013	11	48	6	1176
2009	3	11	5	1483
2011	3	12	6	1191
2015	5	19	1	1251
2015	1	2	2	1059
2007	5	20	6	1280
2012	7	30	7	1260
2015	12	53	4	1086
2013	6	26	1	1411
2013	3	12	2	1240
2008	9	39	6	1400
2013	12	52	5	1348
2009	10	40	7	1351
2013	12	1	2	1079
2006	6	25	5	1683
2007	6	23	6	1314
2008	8	35	7	1249
2015	7	29	7	1212
2013	1	2	6	1305
2012	1	2	5	1453
2015	1	4	2	1349
2006	10	40	6	1407
2007	4	16	3	1675
2012	4	14	2	1533
2013	9	35	7	1328
2014	9	40	1	1495
2015	10	44	1	1307
2006	3	12	1	1531
2012	5	18	3	1556
2006	10	43	5	1523
2015	6	26	1	1471
2007	3	10	4	1436
2006	5	20	3	1639
2015	6	25	4	1544
2010	1	1	6	1250
2007	1	2	4	1574
2006	6	23	1	1598
2011	1	2	4	1262
2015	9	37	1	1182
2013	6	24	5	1398
2006	1	2	5	1617
2014	11	46	7	1186
2008	3	13	2	1622
2013	8	33	4	1501
2015	5	20	4	1442
2006	11	45	2	1440
2014	3	10	3	1394
2006	4	17	7	1238
2013	3	13	1	1167
2011	9	36	4	1360
2009	11	47	1	1500
2012	11	44	7	1032
2007	2	6	3	1491
2015	12	52	7	1161
2008	2	5	7	1267
2010	2	5	7	1008
