		188146
1000498	248451	1
1000499	199174	9
1000500	180807	165
1000501	157260	62
1000502	166517	48
1000502	240028	35
1000504	176531	76
1000504	191586	353
1000507	151975	11
1000507	164606	39
1000507	184127	26
1000508	229861	1
1000509	186322	84
1000510	248612	1
1000511	178030	26
1000512	171670	66
1000512	227912	115
1000512	231559	4
1000513	165022	3
1000513	196642	26
1000514	244082	413
1000515	237599	244
1000516	155193	97
1000516	198094	45
1000517	180520	102
1000517	188857	43
1000519	212462	32
1000519	226374	26
1000521	168264	405
1000521	202381	13
1000522	164297	2
1000522	248444	48
1000523	215535	3
1000523	228662	183
1000524	194053	20
1000524	239422	105
1000525	186528	79
1000528	168138	23
1000528	202823	14
1000529	185431	17
1000529	201747	14
1000529	213385	35
1000530	177800	30
1000530	184452	34
1000530	196515	36
1000530	200758	16
1000530	214434	81
1000530	215835	37
1000531	229408	1091
1000532	181187	159
1000533	160579	5
1000533	211631	5
1000534	198369	184
1000534	216137	29
1000534	235772	96
1000535	246793	28
1000536	172959	17
1000536	216434	37
1000537	164299	14
1000537	188724	107
1000537	227294	1
1000537	245019	126
1000538	186727	102
1000538	216731	14
1000538	232589	194
1000539	180251	212
1000539	242583	1
1000543	199965	1
1000543	242270	199
1000544	191319	221
1000544	203757	33
1000544	243173	102
1000545	153176	4
1000545	158896	8
1000545	186876	1
1000545	242874	91
1000545	248600	19
1000546	162662	23
1000546	171244	14
1000546	193916	65
1000546	199669	5
1000547	186864	145
1000547	199049	42
1000548	159785	13
1000549	185714	11
1000550	164263	5
1000550	192415	1
1000550	230489	131
1000551	164301	1
1000551	169553	12
1000552	199403	38
1000552	225907	1141
1000553	177521	48
1000553	202631	25
1000555	154016	22
1000555	181512	126
1000555	209733	1
1000556	167838	23
1000556	186939	1
1000556	241340	14
1000556	244353	280
1000557	187002	376
1000557	188591	25
1000557	245913	997
1000558	175885	8
1000558	231080	47
1000558	233667	70
1000560	179992	247
1000561	163849	41
1000561	194639	119
1000562	237573	25
1000564	167725	11
1000565	166082	6
1000565	196256	914
1000565	234704	393
1000565	240141	67
1000566	156826	541
1000568	174171	10
1000568	193779	75
1000568	194413	114
1000570	238608	584
1000571	210243	1
1000572	154807	10
1000572	166972	35
1000572	167611	14
1000573	150886	1
1000573	213011	9
1000574	217101	52
1000576	177242	16
1000576	239839	61
1000577	188457	69
1000577	228029	98
1000577	235749	58
1000578	165547	1
1000578	181837	124
1000578	192965	24
1000578	200238	76
1000579	202425	40
1000580	149945	5
1000580	161157	10
1000580	179731	131
1000580	225294	40
1000580	245160	112
1000581	170831	42
1000581	211066	6
1000582	211667	10
1000582	231520	26
1000583	152915	59
1000583	173989	32
1000583	202387	9
1000583	212785	33
1000583	226488	49
1000585	191052	283
1000586	160517	1
1000586	162184	5
1000586	193662	1
1000586	214979	74
1000587	201291	30
1000587	239536	40
1000588	158063	1
1000591	163212	20
1000591	204454	6
1000591	210390	6
1000593	213711	18
1000593	233203	63
1000593	246905	80
1000595	198925	21
1000596	200507	66
1000598	173807	14
1000598	188324	29
1000598	231062	339
1000600	167580	49
1000600	196000	39
1000600	202246	3
1000600	237702	106
1000601	182161	201
1000601	211322	32
1000601	248269	25
1000602	155601	13
1000604	158485	34
1000604	176892	138
1000606	172106	26
1000606	202192	2
1000607	152004	23
1000607	202181	10
1000607	243285	124
1000609	212590	124
1000609	242541	27
1000610	231654	50
1000610	232711	64
1000611	185425	11
1000612	193497	74
1000613	165739	33
1000614	200895	9
1000614	230604	72
1000615	170417	19
1000616	232249	24
1000617	241920	83
1000618	188190	34
1000619	195868	103
1000619	236799	391
1000620	168701	27
1000620	180055	1
1000620	208407	5
1000621	152654	11
1000621	178270	5
1000621	185567	60
1000622	233781	49
1000622	235883	692
1000624	182487	115
1000624	186322	11
1000624	202051	44
1000625	190785	259
1000625	208625	13
1000626	161706	21
1000626	197988	1
1000627	154421	44
1000628	167549	19
1000628	240254	102
1000629	193391	107
1000630	156392	113
1000630	178896	112
1000630	197598	286
1000631	160160	16
1000631	185709	12
1000631	247025	43
1000632	173388	67
1000633	176542	87
1000633	204114	52
1000633	212184	24
1000634	208402	2
1000634	215483	21
1000634	244606	268
1000634	245127	97
1000634	248861	12
1000634	249443	65
1000635	230119	489
1000636	183791	13
1000638	188057	62
1000638	195737	97
1000638	231788	12
1000639	157279	107
1000639	197876	47
1000640	150424	22
1000640	217858	68
1000641	201921	5
1000641	237827	666
1000641	242672	111
1000642	228145	140
1000643	193511	108
1000644	198797	33
1000644	214017	22
1000645	182790	126
1000646	226603	101
1000647	183953	25
1000647	193271	193
1000647	216084	15
1000649	243113	75
1000650	169991	84
1000650	239650	232
1000651	201842	29
1000651	216678	21
1000652	248976	4
1000654	195611	2
1000655	228899	320
1000658	187923	15
1000658	227068	63
1000659	177811	20
1000659	184116	11
1000659	248009	5
1000660	176219	113
1000660	202840	47
1000661	200775	27
1000661	201764	4
1000663	197339	103
1000664	158074	15
1000664	183060	1
1000664	206378	1
1000665	246136	191
1000666	172970	16
1000666	183088	7
1000666	190519	271
1000667	167270	74
1000667	208310	59
1000667	214341	18
1000668	201709	6
1000669	183136	179
1000669	194339	341
1000669	194558	31
1000669	212956	55
1000669	243398	63
1000669	247149	130
1000670	184278	28
1000670	195485	42
1000670	236016	27
1000673	158914	24
1000673	165314	10
1000673	242803	35
1000674	153195	13
1000674	193096	1
1000674	241559	415
1000675	183211	3
1000675	201654	6
1000675	245269	24
1000676	171255	28
1000676	203774	10
1000677	159804	7
1000677	160408	4
1000677	248565	1
1000678	187790	38
1000678	230719	91
1000679	161241	4
1000679	186993	281
1000681	184441	3
1000682	232834	180
1000682	249090	16
1000683	152224	18
1000683	154034	11
1000683	165210	1
1000684	195370	37
1000684	198151	90
1000685	169564	18
1000685	233894	80
1000687	156007	466
1000687	175895	15
1000688	237801	89
1000689	163296	4
1000690	167849	113
1000691	240368	51
1000692	162275	18
1000692	192983	67
1000692	201523	32
1000693	169470	4
1000693	198669	232
1000693	234939	468
1000694	183478	72
1000694	248124	27
1000696	165126	4
1000696	199392	3
1000696	214663	92
1000696	236456	1
1000697	197070	94
1000699	166101	26
1000699	187657	18
1000699	202545	35
1000700	227655	352
1000701	172543	77
1000701	212724	39
1000702	196534	60
1000703	213634	17
1000703	240066	78
1000704	154826	1
1000705	177252	67
