,year,month,weeknum,weekday,freq_complian,freq_motor
321,2012,7,30,3,1650,612
322,2013,9,39,7,1336,506
323,2011,5,21,3,1594,
324,2009,5,19,5,1620,
325,2006,1,1,2,1395,
326,2008,9,36,1,1238,
327,2006,6,24,2,1648,
328,2013,7,27,5,1535,575
329,2015,9,36,6,1380,540
330,2015,6,24,7,1262,576
331,2010,12,48,6,1298,
332,2008,10,42,4,1646,
333,2006,7,27,6,1381,
334,2011,2,6,3,1338,
335,2009,3,13,3,1594,
336,2008,11,45,6,1410,
337,2015,5,21,7,1191,432
338,2007,6,24,3,1692,
339,2010,10,41,3,1613,
340,2012,12,49,1,1289,620
341,2012,9,38,5,1542,654
342,2010,5,21,2,1646,
343,2014,8,35,1,1372,549
344,2006,12,51,5,1439,
345,2009,8,36,1,1429,
346,2015,7,27,5,1431,549
347,2012,1,4,7,1159,
348,2010,1,2,1,1329,
349,2009,6,25,4,1324,
350,2012,11,46,1,1221,546
351,2006,7,28,3,1555,
352,2010,5,22,1,1184,
353,2006,9,38,5,1577,
354,2011,2,6,7,1146,
355,2015,1,5,5,1159,622
356,2013,11,45,1,1343,658
357,2014,12,49,2,1263,611
358,2007,5,21,4,1614,
359,2012,2,9,2,1466,
360,2013,12,49,1,1389,549
361,2007,10,42,4,1716,
362,2010,9,36,6,1395,
363,2011,4,16,4,1453,
364,2012,1,5,1,1307,
365,2010,3,11,5,1481,
366,2015,7,30,7,1364,551
367,2008,4,15,2,1530,
368,2006,8,32,3,1766,
369,2006,8,32,5,1611,
370,2012,6,25,2,1569,
371,2010,2,8,3,1479,
372,2011,10,42,2,1519,
373,2010,7,30,4,1633,
374,2013,4,16,6,1294,532
375,2006,9,35,5,1501,
376,2009,1,2,1,1413,
377,2010,7,27,7,1188,
378,2013,5,22,5,1335,736
379,2006,1,1,3,1634,
380,2008,2,7,4,1352,
381,2010,3,12,6,1241,
382,2015,7,28,7,1297,521
383,2015,7,28,1,1370,598
384,2009,1,1,4,1223,
385,2006,7,27,7,1297,
386,2010,9,38,6,1407,
387,2008,11,45,7,1257,
388,2009,10,42,2,1626,
389,2010,11,45,3,1593,
390,2012,7,27,3,1291,432
391,2011,3,10,1,1257,
392,2012,11,48,2,1228,583
393,2009,7,30,3,1628,
394,2007,11,46,1,1283,
395,2007,10,41,1,1365,
396,2008,3,9,7,1191,
397,2011,5,19,2,1643,
398,2011,5,19,4,1651,
399,2014,10,40,5,1391,719
400,2014,9,37,1,1389,598
401,2011,3,9,4,1313,
402,2006,7,28,2,1643,
403,2015,8,31,7,1313,549
404,2010,4,13,6,1229,
405,2009,8,31,7,1233,
406,2010,6,25,4,1522,
407,2011,2,6,6,1353,
408,2015,12,53,1,1267,490
409,2012,5,20,4,1658,
