,lat,long,zipcode
1665,-73.80470759297332,40.85505598802149,10464
1666,-73.80397635454325,40.855259970263745,10464
1667,-73.8036208818453,40.8556341833685,10464
1668,-73.80386818754891,40.85639074352237,10464
1669,-73.80424347807973,40.85645831094863,10464
1670,-73.80402656217048,40.856524954670775,10464
1671,-73.80402161358052,40.856793213900474,10464
1672,-73.80440363804883,40.858553452880535,10464
1673,-73.80426202563181,40.858838894878446,10464
1674,-73.80465479643344,40.85978865258522,10464
1675,-73.80466755505729,40.861094577976814,10464
1676,-73.80498281095517,40.86168261572824,10464
1677,-73.80541910750698,40.861653654112466,10464
1678,-73.8056263115497,40.861809409378985,10464
1679,-73.80599227050936,40.861256006571075,10464
1680,-73.80597512093023,40.860801865848806,10464
1681,-73.80567741335811,40.86035540505928,10464
1682,-73.80569411069389,40.85985005078881,10464
1683,-73.80627028267587,40.85971606199573,10464
1684,-73.80647371778963,40.85945087882573,10464
1685,-73.80688335931842,40.859819659468435,10464
1686,-73.80741790212379,40.85995331432493,10464
1687,-73.80792725761613,40.85950905455147,10464
1688,-73.80789945993043,40.85935755536326,10464
1689,-73.80751274321378,40.85957311184296,10464
1690,-73.80763120361071,40.85917562857207,10464
1691,-73.80740617444481,40.858785176039945,10464
1692,-73.80751942791342,40.85844979651001,10464
1693,-73.8078424637089,40.85841476372856,10464
1694,-73.80854784202691,40.859616992451585,10464
1695,-73.80997070602275,40.86096120414429,10464
1696,-73.81060263857786,40.8619268700232,10464
1697,-73.81109393149002,40.86235340637272,10464
1698,-73.81243842492461,40.862605450239975,10464
1699,-73.81279566872333,40.86297085652642,10464
1700,-73.8134249893104,40.863033768459005,10464
1701,-73.81381947275503,40.86384085441571,10464
1702,-73.81475394635859,40.8624075376554,10464
1703,-73.81498135304663,40.862210585886004,10464
1704,-73.8152017046097,40.862287679826935,10464
1705,-73.81504561763812,40.862969653934144,10464
1706,-73.81525385977602,40.86328134693193,10464
1707,-73.81490118506845,40.86377169277416,10464
1708,-73.81519456733186,40.86449199879569,10464
1709,-73.81503797186201,40.86530543994184,10464
1710,-73.81518913926219,40.8656240130144,10464
1711,-73.81645840570604,40.864241111290966,10464
1712,-73.81672232745737,40.864195306784715,10464
1713,-73.81701986635589,40.86440300549368,10464
1714,-73.81570312978285,40.86582526193337,10464
1715,-73.81442893599659,40.86778547254462,10464
1716,-73.81442812799051,40.86806863869651,10464
1717,-73.81510736355521,40.868054164961094,10464
1718,-73.81537696759496,40.86820158735086,10464
1719,-73.8153070736603,40.86879991643024,10464
1720,-73.81563290687987,40.86915234473173,10464
1721,-73.81542060747975,40.869569425051964,10464
1722,-73.81576197719065,40.870163951235405,10464
1723,-73.81563997302155,40.870244325962524,10464
1724,-73.81602423155348,40.87023940931983,10464
1725,-73.81643244416156,40.86934405876102,10464
1726,-73.81688547759404,40.86921980577368,10464
1727,-73.81769507924544,40.86851863474627,10464
1728,-73.81829080177664,40.86884190410207,10464
1729,-73.81797763024781,40.86897891544008,10464
1730,-73.81844355558498,40.869328855195995,10464
1731,-73.8182575517892,40.86981633648429,10464
1732,-73.81871764506377,40.869453361101606,10464
1733,-73.8186398714371,40.86879158184037,10464
1734,-73.81788808080705,40.8682872054271,10464
1735,-73.81723594272607,40.8682800429318,10464
1736,-73.81707323500228,40.86787928193717,10464
1737,-73.81730290561006,40.86731293359838,10464
1738,-73.81768759508876,40.86790868813253,10464
1739,-73.81855988860897,40.86833139722992,10464
1740,-73.8189280175566,40.86899866002622,10464
1741,-73.81948761641588,40.869104798724486,10464
