lat,long,zipcode,Lat_Lon
-73.70308722,40.74454726,11040,"(-73.7030872183074, 40.7445472573551)"
-73.70218529,40.74474189,11040,"(-73.7021852869823, 40.7447418877539)"
-73.70419968,40.75016955,11040,"(-73.7041996793636, 40.7501695525698)"
-73.70713085,40.74958274,11040,"(-73.7071308468418, 40.7495827405379)"
-73.70869392,40.74875837,11040,"(-73.7086939237995, 40.7487583655718)"
-73.71068374,40.75004039,11040,"(-73.7106837407401, 40.7500403945092)"
-73.70749974,40.75269198,11040,"(-73.7074997363702, 40.752691975669)"
-73.70477548,40.75527023,11040,"(-73.7047754753824, 40.755270233046)"
-73.70093103,40.75281749,11040,"(-73.7009310299027, 40.7528174863434)"
-73.69974446,40.74239262,11040,"(-73.6997444595322, 40.7423926224676)"
-73.69961317,40.74050607,11040,"(-73.6996131732224, 40.7405060651396)"
-73.69960452,40.7395947,11040,"(-73.6996045181533, 40.739594699566)"
-73.70035246,40.73911325,11040,"(-73.7003524614428, 40.7391132501889)"
-73.72270447,40.75373371,11426,"(-73.7227044714412, 40.7537337143834)"
-73.72250622,40.75335847,11426,"(-73.7225062224742, 40.7533584708149)"
-73.72117809,40.75232189,11426,"(-73.7211780911046, 40.7523218922456)"
-73.72082889,40.75117303,11426,"(-73.7208288904931, 40.751173028173)"
-73.71966143,40.74894524,11426,"(-73.719661429357, 40.7489452364315)"
-73.71867076,40.74631499,11426,"(-73.7186707593958, 40.7463149905743)"
-73.71567896,40.73962915,11426,"(-73.7156789596889, 40.7396291491563)"
-73.71474184,40.73782937,11426,"(-73.714741836008, 40.7378293680411)"
-73.71371033,40.7361747,11426,"(-73.7137103324691, 40.7361747048655)"
-73.71147804,40.73250142,11426,"(-73.7114780374036, 40.7325014196397)"
-73.71074826,40.73059313,11426,"(-73.7107482581903, 40.7305931312194)"
-73.710505,40.72736867,11426,"(-73.7105049997006, 40.7273686697277)"
-73.70905587,40.72664416,11426,"(-73.7090558676262, 40.7266441594981)"
-73.71570591,40.72580151,11426,"(-73.7157059109479, 40.7258015114208)"
-73.71727652,40.72546287,11426,"(-73.7172765169519, 40.7254628718624)"
-73.7262095,40.72309859,11426,"(-73.7262095041088, 40.723098592274)"
-73.72684845,40.72249645,11426,"(-73.7268484504073, 40.7224964540875)"
-73.72761998,40.72225437,11426,"(-73.7276199812525, 40.7222543687358)"
-73.72796736,40.72315527,11426,"(-73.7279673649168, 40.7231552724161)"
-73.72816233,40.72308416,11426,"(-73.7281623259969, 40.7230841645573)"
-73.72836414,40.72361438,11426,"(-73.728364139082, 40.7236143752139)"
-73.72990511,40.72327252,11426,"(-73.729905111023, 40.723272516554)"
-73.7315764,40.72761835,11426,"(-73.7315764018972, 40.7276183452736)"
-73.73159746,40.72797917,11426,"(-73.7315974616662, 40.7279791650861)"
-73.73123513,40.72894739,11426,"(-73.7312351300842, 40.7289473898024)"
-73.73072681,40.73026709,11426,"(-73.7307268136149, 40.7302670942081)"
-73.73277501,40.73033327,11426,"(-73.7327750113752, 40.7303332715827)"
-73.73291096,40.73095236,11426,"(-73.7329109637275, 40.7309523598303)"
-73.73193257,40.73092367,11426,"(-73.7319325709002, 40.7309236715848)"
-73.73116645,40.73268134,11426,"(-73.7311664538948, 40.7326813420106)"
-73.7354465,40.73346163,11426,"(-73.7354464993897, 40.7334616300855)"
-73.73481044,40.7351632,11426,"(-73.7348104438228, 40.7351632002287)"
-73.73452837,40.73544306,11426,"(-73.7345283653234, 40.7354430579834)"
-73.73377298,40.7388993,11426,"(-73.7337729841358, 40.7388993036277)"
-73.73567582,40.73812808,11426,"(-73.7356758191865, 40.7381280797211)"
-73.74168681,40.7368234,11426,"(-73.7416868142448, 40.7368234011531)"
-73.7391559,40.73977682,11426,"(-73.7391559027536, 40.739776817517)"
-73.73793558,40.74062168,11426,"(-73.7379355793686, 40.7406216776276)"
-73.73453712,40.74240322,11426,"(-73.7345371185745, 40.7424032199215)"
-73.73295905,40.74345056,11426,"(-73.7329590469093, 40.7434505599945)"
-73.7312454,40.74488163,11426,"(-73.7312454030116, 40.7448816264246)"
-73.72948122,40.74705875,11426,"(-73.7294812243112, 40.7470587495366)"
-73.7286064,40.74897408,11426,"(-73.7286063986278, 40.7489740783909)"
